/* DATA DESCRIPTION:
Citation:	Bausch, Alexandra Renee; Gallego, M Angeles; Harianto, Januar; Thibodeau, Patricia; Bednaršek, Nina; Havenhand, Jonathan N; Klinger, Terrie (2018): Seawater carbonate chemistry and shell dissolution in dead gastropod larvae and adult Limacina helicina pteropods. PANGAEA, https://doi.org/10.1594/PANGAEA.899574, 
	Supplement to: Bausch, AR et al. (2018): Influence of bacteria on shell dissolution in dead gastropod larvae and adult Limacina helicina pteropods under ocean acidification conditions. Marine Biology, 165(2), https://doi.org/10.1007/s00227-018-3293-3
Abstract:	Ocean acidification (OA) increases aragonite shell dissolution in calcifying marine organisms. It has been proposed that bacteria associated with molluscan shell surfaces in situ could damage the periostracum and reduce its protective function against shell dissolution. However, the influence of bacteria on shell dissolution under OA conditions is unknown. In this study, dissolution in dead shells from gastropod larvae and adult pteropods (Limacina helicina) was examined following a 5-day incubation under a range of aragonite saturation states (Ωarag; values ranging from 0.5 to 1.8) both with and without antibiotics. Gastropod and pteropod specimens were collected from Puget Sound, Washington (48°33′19″N, 122°59′49″W and 47°41′11″N, 122°25′23″W, respectively), preserved, stored, and then treated in August 2015. Environmental scanning electron microscopy (ESEM) was used to determine the severity and extent of dissolution, which was scored as mild, severe, or summed (mild + severe) dissolution. Shell dissolution increased with decreasing Ωarag. In gastropod larvae, there was a significant interaction between the effects of antibiotics and Ωarag on severe dissolution, indicating that microbes could mediate certain types of dissolution among shells under low Ωarag. In L. helicina, there were no significant interactions between the effects of antibiotics and Ωarag on dissolution. These findings suggest that bacteria may differentially influence the response of some groups of shelled planktonic gastropods to OA conditions. This is the first assessment of the microbial–chemical coupling of dissolution in shells of either gastropod larvae or adult L. helicina under OA.
Keyword(s):	Animalia; Bottles or small containers/Aquaria (<20 L); Calcification/Dissolution; Coast and continental shelf; Laboratory experiment; Limacina helicina; Mollusca; North Pacific; Other; Pelagos; Single species; Temperate; Zooplankton
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise; Orr, James C; Gentili, Bernard; Proye, Aurélien; Soetaert, Karline; Rae, James (2016): seacarb: seawater carbonate chemistry with R. R package version 3.1. https://cran.r-project.org/package=seacarb
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Coverage:	MEDIAN LATITUDE: 48.120835 * MEDIAN LONGITUDE: -122.710000 * SOUTH-BOUND LATITUDE: 47.686390 * WEST-BOUND LONGITUDE: -122.996940 * NORTH-BOUND LATITUDE: 48.555280 * EAST-BOUND LONGITUDE: -122.423060
	DATE/TIME START: 2014-10-30T00:00:00 * DATE/TIME END: 2015-08-15T00:00:00
Event(s):	Puget_Sound_OA * LATITUDE: 47.686390 * LONGITUDE: -122.423060 * DATE/TIME START: 2014-10-30T00:00:00 * DATE/TIME END: 2015-08-15T00:00:00 * METHOD/DEVICE: Experiment (EXP)
	San_Juan_Channel * LATITUDE: 48.555280 * LONGITUDE: -122.996940 * DATE/TIME START: 2014-10-30T00:00:00 * DATE/TIME END: 2015-08-15T00:00:00 * METHOD/DEVICE: Experiment (EXP)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2016) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation by seacarb is 2019-03-25.
Parameter(s):	Event label (Event) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Type (Type) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: study
	Species (Species) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Registration number of species (Reg spec no) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: WoRMS Aphia ID
	Uniform resource locator/link to reference (URL ref) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Experiment duration [days] (Exp duration) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Treatment (Treat) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Replicates [#] (Repl) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Aragonite saturation state (Omega Arg) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Aragonite saturation state, standard deviation [±] (Omega Arg std dev) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Percentage [%] (Perc) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: Mild dissolution
	Percentage [%] (Perc) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: Severe dissolution
	Percentage [%] (Perc) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: Summed dissolution
	Temperature, water [°C] (Temp) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Temperature, water, standard deviation [±] (Temp std dev) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Salinity (Sal) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Salinity, standard deviation [±] (Sal std dev) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	pH (pH) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: total scale
	pH, standard deviation [±] (pH std dev) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu) * COMMENT: total scale
	Alkalinity, total [µmol/kg] (AT) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Alkalinity, total, standard deviation [±] (AT std dev) * PI: Bausch, Alexandra Renee (abausch@ldeo.columbia.edu)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1754 data points
*/
Event	Type (study)	Species	Reg spec no (WoRMS Aphia ID)	URL ref	Exp duration [days]	Treat	Repl [#]	Omega Arg	Omega Arg std dev [±]	Perc [%] (Mild dissolution)	Perc [%] (Severe dissolution)	Perc [%] (Summed dissolution)	Temp [°C]	Temp std dev [±]	Sal	Sal std dev [±]	pH (total scale)	pH std dev [±] (total scale)	AT [µmol/kg]	AT std dev [±]	CSC flag	CO2 [µmol/kg]	fCO2water_SST_wet [µatm]	pCO2water_SST_wet [µatm]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	DIC [µmol/kg]	Omega Arg	Omega Cal
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.5 + antibiotics	2	0.558	0.02	1.725	7.611	9.337	14.4	1.0	30.3	0.2	7.44	0.03	2105.47	3.32	8	67.55	1724.43	1730.74	2016.20	35.99	2119.74	0.56	0.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.5 + antibiotics	2	0.558	0.02	3.067	7.016	10.083	14.4	1.0	30.3	0.2	7.44	0.03	2105.47	3.32	8	67.55	1724.43	1730.74	2016.20	35.99	2119.74	0.56	0.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.6 + antibiotics	2	0.726	0.09	3.040	4.506	7.545	14.3	1.1	30.3	0.2	7.55	0.07	2105.47	3.32	8	51.93	1321.75	1326.59	1992.24	45.64	2089.82	0.71	1.12
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.6 + antibiotics	2	0.726	0.09	5.038	0.000	5.038	14.3	1.1	30.3	0.2	7.55	0.07	2105.47	3.32	8	51.93	1321.75	1326.59	1992.24	45.64	2089.82	0.71	1.12
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.7 + antibiotics	2	0.903	0.12	1.138	0.000	1.138	14.3	1.1	30.4	0.2	7.66	0.05	2105.47	3.32	8	39.65	1009.64	1013.34	1961.44	58.04	2059.13	0.90	1.42
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.7 + antibiotics	2	0.903	0.12	0.684	0.000	0.684	14.3	1.1	30.4	0.2	7.66	0.05	2105.47	3.32	8	39.65	1009.64	1013.34	1961.44	58.04	2059.13	0.90	1.42
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.8 + antibiotics	3	1.206	0.25	0.000	0.297	0.297	14.4	1.2	30.3	0.2	7.79	0.08	2105.47	3.32	8	28.67	731.85	734.52	1915.61	76.56	2020.84	1.19	1.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.8 + antibiotics	3	1.206	0.25	0.615	0.000	0.615	14.4	1.2	30.3	0.2	7.79	0.08	2105.47	3.32	8	28.67	731.85	734.52	1915.61	76.56	2020.84	1.19	1.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.8 + antibiotics	3	1.206	0.25	0.240	0.000	0.240	14.4	1.2	30.3	0.2	7.79	0.08	2105.47	3.32	8	28.67	731.85	734.52	1915.61	76.56	2020.84	1.19	1.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.9 + antibiotics	2	1.254	0.15	1.039	0.000	1.039	14.9	1.2	30.4	0.2	7.78	0.03	2105.47	3.32	8	28.96	751.27	753.99	1915.87	76.48	2021.31	1.19	1.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.9 + antibiotics	2	1.254	0.15	0.414	0.000	0.414	14.9	1.2	30.4	0.2	7.78	0.03	2105.47	3.32	8	28.96	751.27	753.99	1915.87	76.48	2021.31	1.19	1.88
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=8.0 + antibiotics	2	1.597	0.16	0.175	0.000	0.175	14.5	1.2	30.4	0.2	7.93	0.05	2105.47	3.32	8	19.99	512.31	514.18	1850.66	102.75	1973.41	1.60	2.52
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=8.0 + antibiotics	2	1.597	0.16	0.000	0.000	0.000	14.5	1.2	30.4	0.2	7.93	0.05	2105.47	3.32	8	19.99	512.31	514.18	1850.66	102.75	1973.41	1.60	2.52
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.5	1	0.561	0.03	7.918	0.698	8.616	14.5	1.1	30.3	0.2	7.44	0.04	2105.47	3.32	8	67.38	1725.38	1731.68	2015.88	36.13	2119.38	0.56	0.89
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.6	2	0.860	0.12	14.084	0.208	14.292	14.5	1.2	30.3	0.2	7.61	0.09	2105.47	3.32	8	44.64	1143.19	1147.36	1975.60	52.37	2072.61	0.82	1.29
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.6	2	0.860	0.12	5.818	0.000	5.818	14.5	1.2	30.3	0.2	7.61	0.09	2105.47	3.32	8	44.64	1143.19	1147.36	1975.60	52.37	2072.61	0.82	1.29
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.7	2	1.050	0.25	5.330	0.000	5.330	14.2	1.0	30.4	0.2	7.72	0.09	2105.47	3.32	8	34.28	870.18	873.37	1942.33	65.73	2042.34	1.02	1.61
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.7	2	1.050	0.25	3.812	0.000	3.812	14.2	1.0	30.4	0.2	7.72	0.09	2105.47	3.32	8	34.28	870.18	873.37	1942.33	65.73	2042.34	1.02	1.61
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.8	1	1.315	0.29	1.480	0.000	1.480	14.3	1.1	30.3	0.2	7.83	0.09	2105.47	3.32	8	25.99	661.47	663.89	1899.80	82.93	2008.72	1.29	2.04
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=7.9	1	1.262	0.09	4.829	0.000	4.829	14.3	1.0	30.4	0.2	7.82	0.04	2105.47	3.32	8	26.62	677.86	680.34	1903.48	81.41	2011.51	1.27	2.00
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=8	2	1.786	0.15	0.000	0.000	0.000	14.3	1.0	30.4	0.2	7.99	0.04	2105.47	3.32	8	17.21	438.18	439.78	1819.94	115.13	1952.28	1.79	2.82
San_Juan_Channel	laboratory	Gastropod larvae			5	pH=8	2	1.786	0.15	0.589	0.000	0.589	14.3	1.0	30.4	0.2	7.99	0.04	2105.47	3.32	8	17.21	438.18	439.78	1819.94	115.13	1952.28	1.79	2.82
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.5 + antibiotics	3	0.498	0.03	17.781	6.666	24.447	14.6	1.1	30.3	0.2	7.38	0.03	2105.47	3.32	8	77.59	1993.07	2000.35	2026.74	31.76	2136.09	0.50	0.78
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.5 + antibiotics	3	0.498	0.03	12.799	20.191	32.990	14.6	1.1	30.3	0.2	7.38	0.03	2105.47	3.32	8	77.59	1993.07	2000.35	2026.74	31.76	2136.09	0.50	0.78
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.5 + antibiotics	3	0.498	0.03	15.025	14.161	29.185	14.6	1.1	30.3	0.2	7.38	0.03	2105.47	3.32	8	77.59	1993.07	2000.35	2026.74	31.76	2136.09	0.50	0.78
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.6 + antibiotics	2	0.717	0.09	1.537	1.206	2.743	14.5	1.2	30.3	0.2	7.55	0.08	2105.47	3.32	8	51.67	1323.08	1327.92	1991.45	45.98	2089.09	0.72	1.13
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.6 + antibiotics	2	0.717	0.09	3.845	0.031	3.876	14.5	1.2	30.3	0.2	7.55	0.08	2105.47	3.32	8	51.67	1323.08	1327.92	1991.45	45.98	2089.09	0.72	1.13
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.7 + antibiotics	4	0.872	0.27	0.069	0.000	0.069	14.6	1.2	30.4	0.2	7.62	0.12	2105.47	3.32	8	43.40	1115.33	1119.40	1971.93	53.83	2069.16	0.84	1.32
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.7 + antibiotics	4	0.872	0.27	0.032	0.000	0.032	14.6	1.2	30.4	0.2	7.62	0.12	2105.47	3.32	8	43.40	1115.33	1119.40	1971.93	53.83	2069.16	0.84	1.32
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.7 + antibiotics	4	0.872	0.27	0.198	0.000	0.198	14.6	1.2	30.4	0.2	7.62	0.12	2105.47	3.32	8	43.40	1115.33	1119.40	1971.93	53.83	2069.16	0.84	1.32
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.7 + antibiotics	4	0.872	0.27	0.397	0.000	0.397	14.6	1.2	30.4	0.2	7.62	0.12	2105.47	3.32	8	43.40	1115.33	1119.40	1971.93	53.83	2069.16	0.84	1.32
Puget_Sound_OA	laboratory	Limacina helicina (zooplankton)	140223	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140223	5	pH=7.8 + antibiotics	4	1.196	0.24	0.157	0.000	0.157	14.2	0.9	30.3	0.2	7.79	0.08	2105.47	3.32	8	28.82	731.30	733.98	1916.89	76.02	2021.74	1.18	1.87
