/* DATA DESCRIPTION:
Citation:	Bylenga, Christine H; Cummings, Vonda; Ryan, Ken G (2015): Fertilisation and larval development in an Antarctic bivalve, Laternula elliptica, under reduced pH and elevated temperatures. PANGAEA, https://doi.org/10.1594/PANGAEA.862591, 
	Supplement to: Bylenga, CH et al. (2015): Fertilisation and larval development in an Antarctic bivalve, Laternula elliptica, under reduced pH and elevated temperatures. Marine Ecology Progress Series, 536, 187-201, https://doi.org/10.3354/meps11436
Abstract:	Elevated temperatures associated with ocean warming and acidification can influence development and, ultimately, success of larval molluscs. The effect of projected oceanic changes on fertilisation and larval development in an Antarctic bivalve, Laternula elliptica, was investigated through successive larval stages at ambient temperature and pH conditions (-1.6°C and pH 7.98) and conditions representative of projections through to 2100 (-0.5°C to +0.4°C and pH 7.80 to pH 7.65). Where significant effects were detected, increased temperature had a consistently positive influence on larval development, regardless of pH level, while effects of reduced pH varied with larval stage and incubation temperature. Fertilisation was high and largely independent of stressors, with no loss of gamete viability. Mortality was unaffected at all development stages under experimental conditions. Elevated temperatures reduced occurrences of abnormalities in D-larvae and accelerated larval development through late veliger and D-larval stages, with D-larvae occurring 5 d sooner at 0.4°C compared to ambient temperature. Reduced pH did not affect occurrences of abnormalities in larvae, but it slowed the development of calcifying stages. More work is required to investigate the effects of developmental delays of the magnitude seen here in order to better determine the ecological relevance of these changes on longer term larval and juvenile success.
Keyword(s):	Animalia; Antarctic; Coast and continental shelf; Containers and aquaria (20-1000 L or < 1 m**2); Development; Laboratory experiment; Laternula elliptica; Mollusca; Pelagos; Polar; Single species; Temperature; Zooplankton
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise (2015): seacarb: seawater carbonate chemistry with R. R package version 3.0.8. https://cran.r-project.org/package=seacarb
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Coverage:	LATITUDE: -77.851550 * LONGITUDE: 166.665520
	DATE/TIME START: 2012-11-01T00:00:00 * DATE/TIME END: 2012-11-30T00:00:00
Event(s):	McMurdo_Station * LATITUDE: -77.851550 * LONGITUDE: 166.665520 * DATE/TIME START: 2012-11-01T00:00:00 * DATE/TIME END: 2012-11-30T00:00:00 * METHOD/DEVICE: Experiment (EXP)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2015) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation is 2016-07-05.
Parameter(s):	Type (Type) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: study
	Species (Species) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Registration number of species (Reg spec no) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Uniform resource locator/link to reference (URL ref) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: WoRMS Aphia ID
	Date (Date) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Treatment (Treat) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Identification (ID) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: label
	Time in hours [h] (Time) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: post fertilisation
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: unfertilised
	Larvae, abnormal [#] (Larvae abn) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: fertilised
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: 2-cell stage
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: 8-cell stage
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: 16-cell stage
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: Blastula stage
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: Trochophore stage
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: Veliger stage
	Larvae [#] (Larvae) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * COMMENT: D-larval stage
	Salinity (Sal) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	pH (pH) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz) * METHOD/DEVICE: Spectrophotometric * COMMENT: total scale
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [ppmv] (pCO2water_SST_wet) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Aragonite saturation state (Omega Arg) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Calcite saturation state (Omega Cal) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Salinity (Sal) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Alkalinity, total [µmol/kg] (AT) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Bylenga, Christine H (christine.bylenga@vuw.ac.nz)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	38640 data points
*/
Type (study)	Species	Reg spec no	URL ref (WoRMS Aphia ID)	Date	Treat	ID (label)	Time [h] (post fertilisation)	Larvae [#] (unfertilised)	Larvae abn [#]	Larvae [#] (fertilised)	Larvae [#] (2-cell stage)	Larvae [#] (8-cell stage)	Larvae [#] (16-cell stage)	Larvae [#] (Blastula stage)	Larvae [#] (Trochophore stage)	Larvae [#] (Veliger stage)	Larvae [#] (D-larval stage)	Sal	pH (total scale, Spectrophotometric)	pCO2water_SST_wet [ppmv]	Omega Arg	Omega Cal	Sal	AT [µmol/kg]	DIC [µmol/kg]	CSC flag (Calculated using seacarb afte...)	CO2 [µmol/kg] (Calculated using seacarb afte...)	fCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	pCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	[HCO3]- [µmol/kg] (Calculated using seacarb afte...)	[CO3]2- [µmol/kg] (Calculated using seacarb afte...)	DIC [µmol/kg] (Calculated using seacarb afte...)	Omega Arg (Calculated using seacarb afte...)	Omega Cal (Calculated using seacarb afte...)
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-05	control pH high temp	1-5-1	0	50	0	0	0	0	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-05	control pH high temp	1-5-1	4	17	1	12	26	0	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-05	control pH high temp	1-5-1	6	13	4	12	22	0	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-06	control pH high temp	1-5-1	24	18	0	0	6	59	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-07	control pH high temp	1-5-1	48	10	1	0	3	4	34	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-08	control pH high temp	1-5-1	72	12	4	0	2	1	29	6	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-09	control pH high temp	1-5-1	96	8	8	0	0	0	3	36	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-11	control pH high temp	1-5-1	144	12	12	0	0	0	0	39	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-13	control pH high temp	1-5-1	192	9	21	0	0	0	0	25	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-15	control pH high temp	1-5-1	240	10	15	0	0	0	0	28	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-16	control pH high temp	1-5-1	264	6	22	0	0	0	0	21	2	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-18	control pH high temp	1-5-1	312	5	33	0	0	0	0	16	9	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-20	control pH high temp	1-5-1	360	3	27	0	0	0	0	12	15	2	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-22	control pH high temp	1-5-1	408	4	27	0	0	0	0	2	2	12	6	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-23	control pH high temp	1-5-1	432	3	32	0	0	0	0	0	4	7	7	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-25	control pH high temp	1-5-1	480	3	26	0	0	0	0	0	3	6	13	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-27	control pH high temp	1-5-1	528	2	30	0	0	0	0	0	0	6	22	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-29	control pH high temp	1-5-1	576	1	27	0	0	0	0	0	0	7	24	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-04-01	control pH high temp	1-5-1	648	3	29	0	0	0	0	0	0	3	16	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-04-03	control pH high temp	1-5-1	696	3	35	0	0	0	0	0	0	3	18	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-04-09	control pH high temp	1-5-1	840	5	16	0	0	0	0	0	0	0	34	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-04-15	control pH high temp	1-5-1	984	2	30	0	0	0	0	0	0	0	20	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-04-19	control pH high temp	1-5-1	1080	1	29	0	0	0	0	0	0	0	22	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-05	control pH high temp	14-5-2	0	50	0	0	0	0	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-05	control pH high temp	14-5-2	4	20	1	6	36	0	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-05	control pH high temp	14-5-2	6	14	5	13	21	0	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-06	control pH high temp	14-5-2	24	27	0	0	17	37	0	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
laboratory	Laternula elliptica (mollusk)	197217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197217	2013-03-07	control pH high temp	14-5-2	48	7	2	0	2	2	39	0	0	0	0	0.5	7.95	383.6	1.38	2.19	34.2	2260.011216	2173.805551	8	29.99	484.09	486.21	2068.36	75.54	2173.89	1.14	1.82
