/* DATA DESCRIPTION:
Citation:	Comeau, Steeve; Gorsky, Gabriel; Alliouane, Samir; Gattuso, Jean-Pierre (2010): Seawater carbonate chemistry and shell length of Mediterranean pteropod Cavolinia inflexa larvae during experiments. Laboratoire d'Océanographie de Villefranche, PANGAEA, https://doi.org/10.1594/PANGAEA.733905, 
	Supplement to: Comeau, S et al. (2010): Larvae of the pteropod Cavolinia inflexa exposed to aragonite undersaturation are viable but shell-less. Marine Biology, 157(10), 2341-2345, https://doi.org/10.1007/s00227-010-1493-6
Abstract:	Larvae of the Mediterranean pteropod Cavolinia inflexa were maintained at controlled pHT values of 8.1, 7.82 and 7.51, equivalent respectively to pCO2 levels of 380, 857 and 1713 µatm. At pHT 7.82 larvae exhibited malformations and lower shell growth, compared to the control condition. At pHT 7.51 the larvae did not make shells but were viable and showed a normal development. However, smaller shells or no shells will have both ecological (food web) and biogeochemical (export of carbon and carbonate) consequences. These results confirm that 1pteropods, as well as the species dependent upon them as a food resource, will be severely impacted by ocean acidification.
Keyword(s):	Animalia; Bottles or small containers/Aquaria (<20 L); Cavolinia inflexa; Coast and continental shelf; Growth/Morphology; Laboratory experiment; Mediterranean Sea; Mollusca; Pelagos; Single species; Temperate; Zooplankton
Project(s):	European network of excellence for Ocean Ecosystems Analysis (EUR-OCEANS) (URI: http://www.eur-oceans.eu/)
	European Project on Ocean Acidification (EPOCA) (URI: https://en.wikipedia.org/wiki/European_Project_on_Ocean_Acidification)
	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Funding:	Seventh Framework Programme (FP7), grant/award no. 211384: European Project on Ocean Acidification (URI: https://cordis.europa.eu/project/rcn/87798/factsheet/en)
	Sixth Framework Programme (FP6), grant/award no. 511106: European network of excellence for Ocean Ecosystems Analysis (URI: https://cordis.europa.eu/project/rcn/75677/factsheet/en)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Lavigne and Gattuso, 2011) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI).
Parameter(s):	Identification (ID) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	Experimental treatment (Exp treat) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	Carbonate system computation flag (CSC flag) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	Experiment day [day] (Exp day) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	Temperature, water [°C] (Temp) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	Salinity (Sal) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	pH (pH) * PI: Comeau, Steeve (steeve.comeau@gmail.com) * METHOD/DEVICE: pH meter (Metrohm, 826 pH mobile) * COMMENT: Total scale
	Alkalinity, total [µmol/kg] (AT) * PI: Comeau, Steeve (steeve.comeau@gmail.com) * METHOD/DEVICE: Alkalinity, Gran titration (Gran, 1950) (URI: https://doi.org/10.3891/acta.chem.scand.04-0559) * COMMENT: Mean
	Alkalinity, total, standard deviation [±] (AT std dev) * PI: Comeau, Steeve (steeve.comeau@gmail.com)
	Carbon dioxide [µmol/kg] (CO2) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Cavolinia inflexa, shell length [µm] (C. inflexa sl) * PI: Comeau, Steeve (steeve.comeau@gmail.com) * METHOD/DEVICE: Microscopy
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	633 data points
*/
ID	Exp treat	CSC flag	Exp day [day]	Temp [°C]	Sal	pH	AT [µmol/kg]	AT std dev [±]	CO2 [µmol/kg]	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	DIC [µmol/kg]	Omega Arg	Omega Cal	C. inflexa sl [µm]
Clutch I	5 days in pH 7.8	8	0	13	38	7.80	2568	1.7	32.65	836.74	833.68	2305.04	106.910	2444.6	1.60	2.49	
Clutch I	5 days in pH 7.8		2	13	38	7.82											
Clutch I	5 days in pH 7.8		4	13	38	7.82											
Clutch I	5 days in pH 7.8	8	5	13	38	7.83	2562	2.4	30.18	773.36	770.53	2282.83	113.450	2426.5	1.70	2.65	
Clutch I	5 days in pH 7.8		5	13	38												281.23
Clutch I	5 days in pH 7.8		5	13	38												257.90
Clutch I	5 days in pH 7.8		5	13	38												272.90
Clutch I	5 days in pH 7.8		5	13	38												143.77
Clutch I	5 days in pH 7.8		5	13	38												257.13
Clutch I	5 days in pH 7.8		5	13	38												246.00
Clutch I	5 days in pH 7.8		5	13	38												243.12
Clutch I	5 days in pH 8.1	8	0	13	38	8.10	2569	1.1	14.86	380.73	379.34	2092.71	193.660	2301.2	2.90	4.52	
Clutch I	5 days in pH 8.1		2	13	38	8.12											
Clutch I	5 days in pH 8.1		4	13	38	8.09											
Clutch I	5 days in pH 8.1	8	5	13	38	8.09	2566	2.7	15.25	390.78	389.35	2099.04	189.830	2304.1	2.84	4.43	
Clutch I	5 days in pH 8.1		5	13	38												337.73
Clutch I	5 days in pH 8.1		5	13	38												346.70
Clutch I	5 days in pH 8.1		5	13	38												305.16
Clutch I	5 days in pH 8.1		5	13	38												341.26
Clutch I	5 days in pH 8.1		5	13	38												262.72
Clutch I	5 days in pH 8.1		5	13	38												258.84
Clutch I	5 days in pH 8.1		5	13	38												276.14
Clutch II	5 days in pH 7.5	8	0	13	38	7.50	2564	2.2	68.55	1756.61	1750.19	2425.31	56.380	2550.2	0.84	1.32	
Clutch II	5 days in pH 7.5		2	13	38	7.49											
Clutch II	5 days in pH 7.5		4	13	38	7.52											
Clutch II	5 days in pH 7.5		6	13	38	7.52											
Clutch II	5 days in pH 7.5		8	13	38	7.50											
Clutch II	5 days in pH 7.5		10	13	38	7.51											
Clutch II	5 days in pH 7.5		12	13	38	7.50											
Clutch II	5 days in pH 7.5	8	13	13	38	7.51	2560	1.8	66.80	1711.76	1705.50	2418.43	57.530	2542.8	0.86	1.34	
Clutch II	13 days in pH 7.5	8	0	13	38	7.50	2564	2.2	68.55	1756.61	1750.19	2425.31	56.380	2550.2	0.84	1.32	
Clutch II	13 days in pH 7.5		2	13	38	7.49											
Clutch II	13 days in pH 7.5		4	13	38	7.52											
Clutch II	13 days in pH 7.5		6	13	38	7.52											
Clutch II	13 days in pH 7.5		8	13	38	7.50											
Clutch II	13 days in pH 7.5		10	13	38	7.51											
Clutch II	13 days in pH 7.5		12	13	38	7.50											
Clutch II	13 days in pH 7.5	8	13	13	38	7.51	2560	1.8	66.80	1711.76	1705.50	2418.43	57.530	2542.8	0.86	1.34	
Clutch II	5 days in pH 7.5		5	13	38												84.11
Clutch II	5 days in pH 7.5		5	13	38												72.53
Clutch II	5 days in pH 7.5		5	13	38												61.01
Clutch II	5 days in pH 7.5		5	13	38												72.14
Clutch II	5 days in pH 7.5		5	13	38												75.95
Clutch II	5 days in pH 7.5		5	13	38												72.80
Clutch II	5 days in pH 7.5		5	13	38												
Clutch II	5 days in pH 7.5		5	13	38												
Clutch II	5 days in pH 7.5		5	13	38												
Clutch II	13 days in pH 7.5		13	13	38												20.30
Clutch II	13 days in pH 7.5		13	13	38												38.20
Clutch II	13 days in pH 7.5		13	13	38												20.31
Clutch II	13 days in pH 7.5		13	13	38												56.11
Clutch II	13 days in pH 7.5		13	13	38												22.30
Clutch II	13 days in pH 7.5		13	13	38												71.30
Clutch II	5 days in pH 8.1	8	0	13	38	8.10	2572	1.2	14.88	381.19	379.80	2095.25	193.900	2304.0	2.90	4.52	
Clutch II	5 days in pH 8.1		2	13	38	8.12											
Clutch II	5 days in pH 8.1		4	13	38	8.09											
Clutch II	5 days in pH 8.1		6	13	38	8.09											
Clutch II	5 days in pH 8.1		8	13	38	8.10											
Clutch II	5 days in pH 8.1		10	13	38	8.11											
Clutch II	5 days in pH 8.1		12	13	38	8.09											
Clutch II	5 days in pH 8.1	8	13	13	38	8.10	2570	2.7	14.86	380.89	379.49	2093.56	193.740	2302.2	2.90	4.52	
Clutch II	5 days in pH 8.1	8	0	13	38	8.10	2572	1.2	14.88	381.19	379.80	2095.25	193.900	2304.0	2.90	4.52	
Clutch II	13 days in pH 8.1		2	13	38	8.12											
Clutch II	13 days in pH 8.1		4	13	38	8.09											
Clutch II	13 days in pH 8.1		6	13	38	8.09											
Clutch II	13 days in pH 8.1		8	13	38	8.10											
Clutch II	13 days in pH 8.1		10	13	38	8.11											
Clutch II	13 days in pH 8.1		12	13	38	8.09											
Clutch II	13 days in pH 8.1	8	13	13	38	8.10	2570	2.7	14.86	380.89	379.49	2093.56	193.740	2302.2	2.90	4.52	
Clutch II	5 days in pH 8.1		5	13	38												201.71
Clutch II	5 days in pH 8.1		5	13	38												199.84
Clutch II	5 days in pH 8.1		5	13	38												180.92
Clutch II	5 days in pH 8.1		5	13	38												172.74
Clutch II	5 days in pH 8.1		5	13	38												188.19
Clutch II	5 days in pH 8.1		5	13	38												186.31
Clutch II	5 days in pH 8.1		5	13	38												205.00
Clutch II	5 days in pH 8.1		5	13	38												162.11
Clutch II	5 days in pH 8.1		5	13	38												230.51
Clutch II	13 days in pH 8.1		13	13	38												384.86
Clutch II	13 days in pH 8.1		13	13	38												433.83
Clutch II	13 days in pH 8.1		13	13	38												416.76
Clutch II	13 days in pH 8.1		13	13	38												435.50
Clutch II	13 days in pH 8.1		13	13	38												401.20
Clutch II	13 days in pH 8.1		13	13	38												438.00
