/* DATA DESCRIPTION:
Citation:	Ellis, Robert P; Bersey, Jess; Rundle, Simon; Hall-Spencer, Jason M; Spicer, John I (2009): Seawater carbonate chemistry and Littorina obtusata biological processes during experiments, 2009. PANGAEA, https://doi.org/10.1594/PANGAEA.758631, 
	Supplement to: Ellis, RP et al. (2009): Subtle but significant effects of CO2 acidified seawater on embryos of the intertidal snail ,Littorina obtusata. Aquatic Biology, 5(1), 41-48, https://doi.org/10.3354/ab00118
Abstract:	Our understanding of the effects of ocean acidification on whole organism function is growing, but most current information is for adult stages of development. Here, we show the effects of reduced pH seawater (pH 7.6) on aspects of the development, physiology and behaviour of encapsulated embryos of the marine intertidal gastropod Littorina obtusata. We found reduced viability and increased development times under reduced pH conditions, and the embryos had significantly altered behaviours and physiologies. In acidified seawater, embryos spent more time stationary, had slower rotation rates, spent less time crawling, but increased their movement periodicity compared with those maintained under control conditions. Larval and adult heart rates were significantly lower in acidified seawater, and hatchling snails had an altered shell morphology (lateral length and spiral shell length) compared to control snails. Our findings show that ocean acidification may have multiple, subtle effects during the early development of marine animals that may have implications for their survival beyond those predicted using later life stages.
Keyword(s):	Animalia; Behaviour; Benthic animals; Benthos; Bottles or small containers/Aquaria (<20 L); Coast and continental shelf; Development; Growth/Morphology; Laboratory experiment; Littorina obtusata; Mollusca; North Atlantic; Reproduction; Single species; Temperate
Project(s):	European network of excellence for Ocean Ecosystems Analysis (EUR-OCEANS) (URI: http://www.eur-oceans.eu/)
	European Project on Ocean Acidification (EPOCA) (URI: https://en.wikipedia.org/wiki/European_Project_on_Ocean_Acidification)
	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Funding:	Seventh Framework Programme (FP7), grant/award no. 211384: European Project on Ocean Acidification (URI: https://cordis.europa.eu/project/rcn/87798/factsheet/en)
	Sixth Framework Programme (FP6), grant/award no. 511106: European network of excellence for Ocean Ecosystems Analysis (URI: https://cordis.europa.eu/project/rcn/75677/factsheet/en)
Comment:	Note from the author "The pH was measured in NBS scale, also the measures of pH and pCO2 are not coupled. The pCO2 was taken from the display on the output of the LiCOR machine used to control the gas mix. Therefore it is a single value which was recorded a number of times throughout the day (more as a way of making sure the gas supply was stable). Conversely the pH was measured in the 15 replicate experimental pots on a single occasion each day of the experiment to give an understanding of the conditions in experimental pots. Unfortunately a second parameter of the seawater carbonate chemistry was not noted directly from the pots, just pH, temperature and salinity. Therefore it is difficult to parameterise the carbonate system fully, particularly as we do not have the reciprocal pCO2 values for the ambient treatment."
Parameter(s):	Experiment day [day] (Exp day) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk)
	Experimental treatment (Exp treat) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk)
	Replicates [#] (Repl) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk)
	Salinity (Sal) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk)
	Temperature, water [°C] (Temp) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk)
	pH (pH) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: pH 209 meter (Hanna Instruments) * COMMENT: Total scale
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: PAR sensor LI-700, Li-COR Inc.
	Carbonate system computation flag (CSC flag) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon dioxide [µmol/kg] (CO2) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Alkalinity, total [µmol/kg] (AT) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Nisumaa, Anne-Marin (annemarin@gmail.com) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Littorina obtusata, embryo, viable [#] (L. obtusata embryo viable) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, eggs, empty [#] (L. obtusata eggs empty) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, deformed [#] (L. obtusata embryo deformed) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, twin [#] (L. obtusata embryo twin) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, half hatched [#] (L. obtusata embryo half hatched) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, hearbeat, larval [beat/min] (L. obtusata hearbeat larval) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, hearbeat, ad [beat/min] (L. obtusata hearbeat adult) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, time, stationary [%] (L. obtusata embryo time stationary) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, time, spinning [%] (L. obtusata embryo time spinning) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, time crawling [%] (L. obtusata embryo time crawling) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, embryo, time moving [%] (L. obtusata embryo time moving) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, periodisation, moving [#] (L. obtusata periodisation moving) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, periodisation, stationary [#] (L. obtusata periodisation stationary) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, periodisation, total [#] (L. obtusata periodisation total) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, rate of motion, whilst moving [rotation/min] (L. obtusata rate of motion whilst moving) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, total rate of motion [rotation/min] (L. obtusata total rate of motion) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, hatched [#] (L. obtusata hatched) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, hatched, hearbeat [beat/min] (L. obtusata hatched heartbeat) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, lateral shell length [mm] (L. obtusata lateral sl) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, ventral shell length [mm] (L. obtusata ventral sl) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, ventral shell width [mm] (L. obtusata ventral sw) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, aperture length [mm] (L. obtusata aperture l) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, aperture width [mm] (L. obtusata aperture width) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, lateral shell mid-length [mm] (L. obtusata lateral shell mid-l) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, spiral length [mm] (L. obtusata spiral l) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
	Littorina obtusata, aperture area [mm**2] (L. obtusata aperture area) * PI: Ellis, Robert P (https://orcid.org/0000-0002-3117-0075, robert.ellis100@plymouth.ac.uk) * METHOD/DEVICE: see reference(s)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	7359 data points
*/
Exp day [day]	Exp treat	Repl [#]	Sal	Temp [°C]	pH	pCO2water_SST_wet [µatm]	CSC flag	CO2 [µmol/kg]	fCO2water_SST_wet [µatm]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	DIC [µmol/kg]	AT [µmol/kg]	Omega Arg	Omega Cal	L. obtusata embryo viable [#]	L. obtusata eggs empty [#]	L. obtusata embryo deformed [#]	L. obtusata embryo twin [#]	L. obtusata embryo half hatched [#]	L. obtusata hearbeat larval [beat/min]	L. obtusata hearbeat adult [beat/min]	L. obtusata embryo time stationary [%]	L. obtusata embryo time spinning [%]	L. obtusata embryo time crawling [%]	L. obtusata embryo time moving [%]	L. obtusata periodisation moving [#]	L. obtusata periodisation stationary [#]	L. obtusata periodisation total [#]	L. obtusata rate of motion whilst moving [rotation/min]	L. obtusata total rate of motion [rotation/min]	L. obtusata hatched [#]	L. obtusata hatched heartbeat [beat/min]	L. obtusata lateral sl [mm]	L. obtusata ventral sl [mm]	L. obtusata ventral sw [mm]	L. obtusata aperture l [mm]	L. obtusata aperture width [mm]	L. obtusata lateral shell mid-l [mm]	L. obtusata spiral l [mm]	L. obtusata aperture area [mm**2]
1	low pH	1	35	15												7	1																								
2	low pH	1	35	15												17																									
3	low pH	1	35	15												7																									
4	low pH	1	35	15	7.56	1056.5	21	39.43	1052.73	1644.03	44.35	1727.8	1760.7	0.68	1.06	15	1																								
5	low pH	1	35	15	7.60	1149.4	21	42.90	1145.30	1961.15	58.01	2062.1	2107.6	0.89	1.38	10																									
6	low pH	1	35	15	7.62	1059.4	21	39.54	1055.62	1892.78	58.63	1991.0	2041.8	0.90	1.40	16																									
7	low pH	1	35	15	7.61	1096.4	21	40.92	1092.49	1914.30	57.94	2013.2	2061.3	0.89	1.38	15																									
8	low pH	1	35	15	7.61	1132.0	21	42.25	1127.97	1976.45	59.83	2078.5	2127.2	0.92	1.43	15	1																								
9	low pH	1	35	15	7.69	1179.6	21	44.03	1175.40	2476.14	90.11	2610.3	2693.3	1.38	2.15	10																									
10	low pH	1	35	15	7.49	1180.5	21	44.06	1176.29	1563.53	35.90	1643.5	1659.3	0.55	0.86	7																									
11	low pH	1	35	15	7.55	1137.2	21	42.45	1133.15	1729.33	45.59	1817.4	1847.9	0.70	1.09	8																									
12	low pH	1	35	15	7.49	1225.2	21	45.73	1220.83	1622.73	37.26	1705.7	1721.3	0.57	0.89	15																									
13	low pH	1	35	15	7.55	1369.0	21	51.10	1364.12	2081.82	54.88	2187.8	2219.0	0.84	1.31	15		1																							
14	low pH	1	35	15	7.67	1108.4	21	41.37	1104.45	2221.96	77.22	2340.6	2411.8	1.18	1.84	5																									
15	low pH	1	35	15	7.54	1113.7	21	41.57	1109.70	1654.99	42.64	1739.2	1767.0	0.65	1.02	11																									
16	low pH	1	35	15	7.62	1073.5	21	40.07	1069.67	1917.97	59.41	2017.4	2068.6	0.91	1.42	29		3																							
17	low pH	1	35	15	7.58	1037.0	21	38.71	1033.30	1689.74	47.73	1776.2	1814.4	0.73	1.14	40		1																							
18	low pH	1	35	15	7.63	1006.8	21	37.58	1003.21	1840.70	58.34	1936.6	1989.9	0.89	1.39	24	3	1																							
19	low pH	1	35	15	7.59	974.3	21	36.37	970.86	1624.60	46.96	1707.9	1748.4	0.72	1.12	22	5																								
20	low pH	1	35	15	7.65	979.7	21	36.57	976.18	1875.51	62.25	1974.3	2033.9	0.95	1.48	34	16																								
21	low pH	1	35	15	7.59	1076.5	21	40.18	1072.66	1794.96	51.89	1887.0	1928.6	0.79	1.24	29	1	3																							
22	low pH	1	35	15	7.45	1083.0	21	40.42	1079.14	1308.18	27.39	1376.0	1385.0	0.42	0.65	22	5	2																							
23	low pH	1	35	15	7.37	1320.0	21	49.27	1315.30	1326.22	23.10	1398.6	1390.8	0.35	0.55	18		1																							
24	low pH	1	35	15	7.53	981.0	21	36.62	977.50	1424.65	35.87	1497.1	1522.6	0.55	0.85	22	1	1														0									
25	low pH	1	35	15	7.42	966.0	21	36.06	962.56	1088.97	21.28	1146.3	1152.1	0.33	0.51	17	13															18									
26	low pH	1	35	15	7.21	933.7	21	34.85	930.34	648.98	7.82	691.6	677.5	0.12	0.19	17	7															7									
27	low pH	1	35	15	7.55	706.0	21	26.35	703.48	1073.61	28.30	1128.3	1157.6	0.43	0.67	4	2															26									
28	low pH	1	35	15	7.68											11	7															17									
29	low pH	1	35	15	7.82											15	18	1														14									
30	low pH	1	35	15																												22									
1	low pH	2	35	15												18																									
2	low pH	2	35	15												11																									
3	low pH	2	35	15												11																									
4	low pH	2	35	15	7.58	1056.5	21	39.43	1052.73	1721.51	48.63	1809.6	1848.0	0.74	1.16	12																									
5	low pH	2	35	15	7.60	1149.4	21	42.90	1145.30	1961.15	58.01	2062.1	2107.6	0.89	1.38	17																									
6	low pH	2	35	15	7.63	1059.4	21	39.54	1055.62	1936.87	61.39	2037.8	2092.1	0.94	1.46	15																									
7	low pH	2	35	15	7.61	1096.4	21	40.92	1092.49	1914.30	57.94	2013.2	2061.3	0.89	1.38	4		1																							
8	low pH	2	35	15	7.60	1132.0	21	42.25	1127.97	1931.46	57.13	2030.8	2076.2	0.87	1.36	11		1																							
9	low pH	2	35	15	7.70	1179.6	21	44.03	1175.40	2533.81	94.36	2672.2	2760.2	1.44	2.25	10	1	2																							
10	low pH	2	35	15	7.48	1180.5	21	44.06	1176.29	1527.94	34.29	1606.3	1620.0	0.52	0.82	10		1																							
11	low pH	2	35	15	7.57	1137.2	21	42.45	1133.15	1810.83	49.99	1903.3	1939.4	0.76	1.19	10		1																							
12	low pH	2	35	15	7.50	1225.2	21	45.73	1220.83	1660.53	39.02	1745.3	1763.1	0.60	0.93	6	6																								
13	low pH	2	35	15	7.54	1369.0	21	51.10	1364.12	2034.43	52.41	2138.0	2166.0	0.80	1.25	13	2	2																							
14	low pH	2	35	15	7.67	1108.4	21	41.37	1104.45	2221.96	77.22	2340.6	2411.8	1.18	1.84	4	1																								
15	low pH	2	35	15	7.55	1113.7	21	41.57	1109.70	1693.54	44.65	1779.8	1810.2	0.68	1.06	17																									
16	low pH	2	35	15	7.63	1073.5	21	40.07	1069.67	1962.65	62.21	2064.9	2119.6	0.95	1.48	36		2																							
17	low pH	2	35	15	7.59	1037.0	21	38.71	1033.30	1729.10	49.98	1817.8	1858.9	0.76	1.19	14	1																								
18	low pH	2	35	15	7.64	1006.8	21	37.58	1003.21	1883.58	61.09	1982.2	2039.0	0.93	1.46	15																									
19	low pH	2	35	15	7.62	974.3	21	36.37	970.86	1740.79	53.92	1831.1	1880.4	0.83	1.28	11																									
20	low pH	2	35	15	7.65	979.7	21	36.57	976.18	1875.51	62.25	1974.3	2033.9	0.95	1.48	12	1	1																							
21	low pH	2	35	15	7.60	1076.5	21	40.18	1072.66	1836.77	54.33	1931.3	1975.9	0.83	1.29	23		1																							
22	low pH	2	35	15	7.45	1083.0	21	40.42	1079.14	1308.18	27.39	1376.0	1385.0	0.42	0.65	21	1																								
23	low pH	2	35	15	7.37	1320.0	21	49.27	1315.30	1326.22	23.10	1398.6	1390.8	0.35	0.55	24	1	1																							
24	low pH	2	35	15	7.50	981.0	21	36.62	977.50	1329.56	31.24	1397.4	1416.6	0.48	0.74	17	1	2														0									
25	low pH	2	35	15	7.43	966.0	21	36.06	962.56	1114.34	22.29	1172.7	1180.0	0.34	0.53	18		1														0									
26	low pH	2	35	15	7.21	933.7	21	34.85	930.34	648.98	7.82	691.6	677.5	0.12	0.19	8	4	1														18									
27	low pH	2	35	15	7.53	706.0	21	26.35	703.48	1025.29	25.81	1077.4	1103.1	0.39	0.62	5	4	1														19									
28	low pH	2	35	15	7.74											3	2															20									
29	low pH	2	35	15	7.83											8	5	2														16									
30	low pH	2	35	15																												12									
1	low pH	3	35	15												11																									
2	low pH	3	35	15												7																									
3	low pH	3	35	15	7.57	1056.5	21	39.43	1052.73	1682.32	46.44	1768.2	1803.8	0.71	1.11	7	2																								
4	low pH	3	35	15	7.60	1149.4	21	42.90	1145.30	1961.15	58.01	2062.1	2107.6	0.89	1.38	11		1																							
5	low pH	3	35	15	7.62	1059.4	21	39.54	1055.62	1892.78	58.63	1991.0	2041.8	0.90	1.40	14	1	1																							
6	low pH	3	35	15	7.61	1096.4	21	40.92	1092.49	1914.30	57.94	2013.2	2061.3	0.89	1.38	13		1																							
7	low pH	3	35	15	7.59	1132.0	21	42.25	1127.97	1887.50	54.56	1984.3	2026.4	0.83	1.30	10	9																								
8	low pH	3	35	15	7.70	1179.6	21	44.03	1175.40	2533.81	94.36	2672.2	2760.2	1.44	2.25	4																									
9	low pH	3	35	15	7.48	1180.5	21	44.06	1176.29	1527.94	34.29	1606.3	1620.0	0.52	0.82	6	1																								
10	low pH	3	35	15	7.56	1137.2	21	42.45	1133.15	1769.61	47.74	1859.8	1893.0	0.73	1.14	10																									
11	low pH	3	35	15	7.49	1225.2	21	45.73	1220.83	1622.73	37.26	1705.7	1721.3	0.57	0.89	6																									
12	low pH	3	35	15	7.56	1369.0	21	51.10	1364.12	2130.31	57.47	2238.9	2273.2	0.88	1.37	6																									
13	low pH	3	35	15	7.67	1108.4	21	41.37	1104.45	2221.96	77.22	2340.6	2411.8	1.18	1.84	8																									
14	low pH	3	35	15	7.54	1113.7	21	41.57	1109.70	1654.99	42.64	1739.2	1767.0	0.65	1.02	9	2	1																							
15	low pH	3	35	15	7.62	1073.5	21	40.07	1069.67	1917.97	59.41	2017.4	2068.6	0.91	1.42	17	9	2																							
16	low pH	3	35	15	7.59	1037.0	21	38.71	1033.30	1729.10	49.98	1817.8	1858.9	0.76	1.19	7	11	1																							
17	low pH	3	35	15	7.63	1006.8	21	37.58	1003.21	1840.70	58.34	1936.6	1989.9	0.89	1.39	10	2																								
18	low pH	3	35	15	7.62	974.3	21	36.37	970.86	1740.79	53.92	1831.1	1880.4	0.83	1.28	13	5																								
19	low pH	3	35	15	7.64	979.7	21	36.57	976.18	1832.82	59.45	1928.8	1984.9	0.91	1.42	15	12	1																							
20	low pH	3	35	15	7.59	1076.5	21	40.18	1072.66	1794.96	51.89	1887.0	1928.6	0.79	1.24	17	5																								
21	low pH	3	35	15	7.46	1083.0	21	40.42	1079.14	1338.65	28.69	1407.8	1418.5	0.44	0.68	15	10																								
22	low pH	3	35	15	7.38	1320.0	21	49.27	1315.30	1357.11	24.19	1430.6	1424.3	0.37	0.58	16	5	1																							
23	low pH	3	35	15	7.53	981.0	21	36.62	977.50	1424.65	35.87	1497.1	1522.6	0.55	0.85	24	11																								
24	low pH	3	35	15	7.43	966.0	21	36.06	962.56	1114.34	22.29	1172.7	1180.0	0.34	0.53	8	2															0									
25	low pH	3	35	15	7.23	933.7	21	34.85	930.34	679.57	8.57	723.0	710.2	0.13	0.20	9	3															1									
26	low pH	3	35	15	7.54	706.0	21	26.35	703.48	1049.17	27.03	1102.6	1130.0	0.41	0.64	2	3															23									
27	low pH	3	35	15	7.76											6	7															15									
28	low pH	3	35	15	7.81											17	10	1														11									
29	low pH	3	35	15																												19									
1	low pH	4	35	15												28	1																								
2	low pH	4	35	15												20																									
3	low pH	4	35	15	7.56	1056.5	21	39.43	1052.73	1644.03	44.35	1727.8	1760.7	0.68	1.06	17																									
4	low pH	4	35	15	7.60	1149.4	21	42.90	1145.30	1961.15	58.01	2062.1	2107.6	0.89	1.38	27																									
5	low pH	4	35	15	7.64	1059.4	21	39.54	1055.62	1981.98	64.28	2085.8	2143.8	0.98	1.53	27																									
6	low pH	4	35	15	7.64	1096.4	21	40.92	1092.49	2051.21	66.53	2158.7	2217.5	1.02	1.59	8																									
7	low pH	4	35	15	7.60	1132.0	21	42.25	1127.97	1931.46	57.13	2030.8	2076.2	0.87	1.36	16																									
8	low pH	4	35	15	7.69	1179.6	21	44.03	1175.40	2476.14	90.11	2610.3	2693.3	1.38	2.15	13	3																								
9	low pH	4	35	15	7.50	1180.5	21	44.06	1176.29	1599.95	37.59	1681.6	1699.7	0.58	0.90	9																									
10	low pH	4	35	15	7.56	1137.2	21	42.45	1133.15	1769.61	47.74	1859.8	1893.0	0.73	1.14	11	3	1																							
11	low pH	4	35	15	7.49	1225.2	21	45.73	1220.83	1622.73	37.26	1705.7	1721.3	0.57	0.89	12	2																								
12	low pH	4	35	15	7.56	1369.0	21	51.10	1364.12	2130.31	57.47	2238.9	2273.2	0.88	1.37	10	4																								
13	low pH	4	35	15	7.67	1108.4	21	41.37	1104.45	2221.96	77.22	2340.6	2411.8	1.18	1.84	7																									
14	low pH	4	35	15	7.57	1113.7	21	41.57	1109.70	1773.36	48.95	1863.9	1899.8	0.75	1.17	31	1																								
15	low pH	4	35	15	7.63	1073.5	21	40.07	1069.67	1962.65	62.21	2064.9	2119.6	0.95	1.48	37	4																								
16	low pH	4	35	15	7.59	1037.0	21	38.71	1033.30	1729.10	49.98	1817.8	1858.9	0.76	1.19	22	3																								
17	low pH	4	35	15	7.65	1006.8	21	37.58	1003.21	1927.45	63.97	2029.0	2089.3	0.98	1.52	28	3																								
18	low pH	4	35	15	7.62	974.3	21	36.37	970.86	1740.79	53.92	1831.1	1880.4	0.83	1.28	14																									
19	low pH	4	35	15	7.65	979.7	21	36.57	976.18	1875.51	62.25	1974.3	2033.9	0.95	1.48	29																									
20	low pH	4	35	15	7.60	1076.5	21	40.18	1072.66	1836.77	54.33	1931.3	1975.9	0.83	1.29	32	2																								
21	low pH	4	35	15	7.46	1083.0	21	40.42	1079.14	1338.65	28.69	1407.8	1418.5	0.44	0.68	20	4	1																							
22	low pH	4	35	15	7.38	1320.0	21	49.27	1315.30	1357.11	24.19	1430.6	1424.3	0.37	0.58	26																									
23	low pH	4	35	15	7.54	981.0	21	36.62	977.50	1457.84	37.56	1532.0	1559.7	0.57	0.89	30																									
