/* DATA DESCRIPTION:
Citation:	Guo, X; Huang, M; Pu, F; You, W; Ke, C (2015): Effects of ocean acidification caused by rising CO2 on the early development of three mollusks. PANGAEA, https://doi.org/10.1594/PANGAEA.847478, 
	Supplement to: Guo, X et al. (2015): Effects of ocean acidification caused by rising CO2 on the early development of three mollusks. Aquatic Biology, 23(2), 147-157, https://doi.org/10.3354/ab00615
Abstract:	Increasing atmospheric CO2 can decrease seawater pH and carbonate ions, which may adversely affect the larval survival of calcareous animals. In this study, we simulated future atmospheric CO2 concentrations (800, 1500, 2000 and 3000 ppm) and examined the effects of ocean acidification on the early development of 3 mollusks (the abalones Haliotis diversicolor and H. discus hannai and the oyster Crassostrea angulata). We showed that fertilization rate, hatching rate, larval shell length, trochophore development, veliger survival and metamorphosis all decreased significantly at different pCO2 levels (except oyster hatching). H. discus hannai were more tolerant of high CO2 compared to H. diversicolor. At 2000 ppm CO2, 79.2% of H. discus hannai veliger larvae developed normally, but only 13.3% of H. diversicolor veliger larvae. Tolerance of C. angulata to ocean acidification was greater than the 2 abalone species; 50.5% of its D-larvae developed normally at 3000 ppm CO2. This apparent resistance of C. angulata to ocean acidification may be attributed to their adaptability to estuarine environments. Mechanisms underlying the resistance to ocean acidification of both abalones requires further investigation. Our results suggest that ocean acidification may decrease the yield of these 3 economically important shellfish if increasing CO2 is a future trend.
Keyword(s):	Animalia; Benthic animals; Benthos; Bottles or small containers/Aquaria (<20 L); Coast and continental shelf; Crassostrea angulata; Development; Growth/Morphology; Haliotis discus hannai; Haliotis diversicolor; Laboratory experiment; Mollusca; Mortality/Survival; North Pacific; Reproduction; Single species; Temperate
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise (2015): seacarb: seawater carbonate chemistry with R. R package version 3.0.6. https://cran.r-project.org/package=seacarb
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2015) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation is 2015-06-01.
Parameter(s):	Species (Species) * PI: Ke, C (chke@xmu.edu.cn)
	Figure (Fig) * PI: Ke, C (chke@xmu.edu.cn)
	Treatment (Treat) * PI: Ke, C (chke@xmu.edu.cn)
	Fertilization success rate [%] (Fert success) * PI: Ke, C (chke@xmu.edu.cn)
	Fertilization success rate, standard deviation [±] (Fert success std dev) * PI: Ke, C (chke@xmu.edu.cn)
	Hatching rate [%] (Hatching) * PI: Ke, C (chke@xmu.edu.cn)
	Hatching rate, standard deviation [±] (Hatching std dev) * PI: Ke, C (chke@xmu.edu.cn)
	Time in hours [h] (Time) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: post-fertilization
	Stage (Stage) * PI: Ke, C (chke@xmu.edu.cn)
	Percentage [%] (Perc) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: in each stage
	Percentage, standard deviation [±] (Perc std dev) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: in each stage
	Shell length [mm] (Shell l) * PI: Ke, C (chke@xmu.edu.cn)
	Shell length, standard deviation [±] (Shell l std dev) * PI: Ke, C (chke@xmu.edu.cn)
	Abnormality [%] (Abn) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: D larva
	Abnormality, standard deviation [±] (Abn std dev) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: D larva
	Hatching rate [%] (Hatching) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: trochophore
	Hatching rate, standard deviation [±] (Hatching std dev) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: trochophore
	Metamorphosis rate [%] (Metamorph rate) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: trochophore
	Metamorphosis rate, standard deviation [±] (Metamorph rate std dev) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: trochophore
	Survival [%] (Survival) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: veliger
	Survival rate, standard deviation [±] (Survival rate std dev) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: veliger
	Metamorphosis rate [%] (Metamorph rate) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: veliger
	Metamorphosis rate, standard deviation [±] (Metamorph rate std dev) * PI: Ke, C (chke@xmu.edu.cn) * COMMENT: veliger
	Temperature, water [°C] (Temp) * PI: Ke, C (chke@xmu.edu.cn)
	Temperature, water, standard deviation [±] (Temp std dev) * PI: Ke, C (chke@xmu.edu.cn)
	pH (pH) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Potentiometric * COMMENT: NBS scale
	pH, standard deviation [±] (pH std dev) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Potentiometric * COMMENT: NBS scale
	Alkalinity, total [µmol/kg] (AT) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Potentiometric titration
	Alkalinity, total, standard deviation [±] (AT std dev) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Potentiometric titration
	Salinity (Sal) * PI: Ke, C (chke@xmu.edu.cn)
	Salinity, standard deviation [±] (Sal std dev) * PI: Ke, C (chke@xmu.edu.cn)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbon dioxide [µmol/kg] (CO2) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Calcite saturation state (Omega Cal) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Aragonite saturation state (Omega Arg) * PI: Ke, C (chke@xmu.edu.cn) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	pH (pH) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010) * COMMENT: total scale
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3738 data points
*/
Species	Fig	Treat	Fert success [%]	Fert success std dev [±]	Hatching [%]	Hatching std dev [±]	Time [h] (post-fertilization)	Stage	Perc [%] (in each stage)	Perc std dev [±] (in each stage)	Shell l [mm]	Shell l std dev [±]	Abn [%] (D larva)	Abn std dev [±] (D larva)	Hatching [%] (trochophore)	Hatching std dev [±] (trochophore)	Metamorph rate [%] (trochophore)	Metamorph rate std dev [±] (trochophore)	Survival [%] (veliger)	Survival rate std dev [±] (veliger)	Metamorph rate [%] (veliger)	Metamorph rate std dev [±] (veliger)	Temp [°C]	Temp std dev [±]	pH (NBS scale, Potentiometric)	pH std dev [±] (NBS scale, Potentiometric)	AT [µmol/kg] (Potentiometric titration)	AT std dev [±] (Potentiometric titration)	Sal	Sal std dev [±]	pCO2water_SST_wet [µatm] (Calculated using CO2SYS)	CO2 [µmol/kg] (Calculated using CO2SYS)	[HCO3]- [µmol/kg] (Calculated using CO2SYS)	[CO3]2- [µmol/kg] (Calculated using CO2SYS)	Omega Cal (Calculated using CO2SYS)	Omega Arg (Calculated using CO2SYS)	CSC flag (Calculated using seacarb afte...)	pH (total scale, Calculated using...)	CO2 [µmol/kg] (Calculated using seacarb afte...)	fCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	pCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	[HCO3]- [µmol/kg] (Calculated using seacarb afte...)	[CO3]2- [µmol/kg] (Calculated using seacarb afte...)	DIC [µmol/kg] (Calculated using seacarb afte...)	Omega Arg (Calculated using seacarb afte...)	Omega Cal (Calculated using seacarb afte...)
Haliotis diversicolor (mollusk)	2	control	94.30	2.00	80.1	1.8																	23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	2	pCO2=800 ppm	94.70	1.10	76.4	1.9																	23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	2	pCO2=1500 ppm	94.50	1.00	73.6	3.2																	23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
Haliotis diversicolor (mollusk)	2	pCO2=2000 ppm	91.60	0.70	65.8	1.3																	23.3	0.0	7.61	0.00	2281.1	4.6	31.3	0.6	1794.5	54.1	2137.5	59.2	1.46	0.95	26	7.47	54.03	1786.46	1792.31	2137.65	59.15	2250.83	0.95	1.46
Haliotis diversicolor (mollusk)	2	pCO2=3000 ppm	90.70	2.40	64.2	2.7																	23.5	0.0	7.43	0.02	2281.1	4.6	31.3	0.6	2780.7	83.4	2183.6	40.2	0.99	0.65	26	7.29	83.30	2769.06	2778.11	2183.77	40.17	2307.24	0.65	0.99
Haliotis discus hannai (mollusk)	2	control	71.30	3.00	88.2	1.9																	23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis discus hannai (mollusk)	2	pCO2=800 ppm	71.50	5.30	86.9	3.6																	23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis discus hannai (mollusk)	2	pCO2=1500 ppm	68.80	2.60	76.0	3.2																	23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
Haliotis discus hannai (mollusk)	2	pCO2=2000 ppm	67.50	2.80	64.6	4.9																	23.3	0.0	7.61	0.00	2281.1	4.6	31.3	0.6	1794.5	54.1	2137.5	59.2	1.46	0.95	26	7.47	54.03	1786.46	1792.31	2137.65	59.15	2250.83	0.95	1.46
Haliotis discus hannai (mollusk)	2	pCO2=3000 ppm	55.90	7.20	62.0	4.5																	23.5	0.0	7.43	0.02	2281.1	4.6	31.3	0.6	2780.7	83.4	2183.6	40.2	0.99	0.65	26	7.29	83.30	2769.06	2778.11	2183.77	40.17	2307.24	0.65	0.99
Haliotis diversicolor (mollusk)	3	control					16	fertilized egg	0.81	0.72													23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	control					16	trocophore	6.23	4.89													23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	control					16	veliger	89.78	7.01													23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	control					16	deformed	3.17	2.04													23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					16	fertilized egg	0.37	3.84													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					16	trocophore	22.91	60.72													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					16	veliger	72.57	0.69													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					16	deformed	4.15	34.76													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=1500 ppm					16	fertilized egg	0.64	1.49													23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
Haliotis diversicolor (mollusk)	3	pCO2=1500 ppm					16	trocophore	13.14	13.65													23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
Haliotis diversicolor (mollusk)	3	pCO2=1500 ppm					16	veliger	17.61	1.19													23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
Haliotis diversicolor (mollusk)	3	pCO2=1500 ppm					16	deformed	4.10	14.84													23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
Haliotis diversicolor (mollusk)	3	pCO2=2000 ppm					16	fertilized egg	2.84	2.46													23.3	0.0	7.61	0.00	2281.1	4.6	31.3	0.6	1794.5	54.1	2137.5	59.2	1.46	0.95	26	7.47	54.03	1786.46	1792.31	2137.65	59.15	2250.83	0.95	1.46
Haliotis diversicolor (mollusk)	3	pCO2=2000 ppm					16	trocophore	68.98	8.60													23.3	0.0	7.61	0.00	2281.1	4.6	31.3	0.6	1794.5	54.1	2137.5	59.2	1.46	0.95	26	7.47	54.03	1786.46	1792.31	2137.65	59.15	2250.83	0.95	1.46
Haliotis diversicolor (mollusk)	3	pCO2=2000 ppm					16	veliger	0.00														23.3	0.0	7.61	0.00	2281.1	4.6	31.3	0.6	1794.5	54.1	2137.5	59.2	1.46	0.95	26	7.47	54.03	1786.46	1792.31	2137.65	59.15	2250.83	0.95	1.46
Haliotis diversicolor (mollusk)	3	pCO2=2000 ppm					16	deformed	28.18	7.89													23.3	0.0	7.61	0.00	2281.1	4.6	31.3	0.6	1794.5	54.1	2137.5	59.2	1.46	0.95	26	7.47	54.03	1786.46	1792.31	2137.65	59.15	2250.83	0.95	1.46
Haliotis diversicolor (mollusk)	3	pCO2=3000 ppm					16	fertilized egg	3.83	2.89													23.5	0.0	7.43	0.02	2281.1	4.6	31.3	0.6	2780.7	83.4	2183.6	40.2	0.99	0.65	26	7.29	83.30	2769.06	2778.11	2183.77	40.17	2307.24	0.65	0.99
Haliotis diversicolor (mollusk)	3	pCO2=3000 ppm					16	trocophore	64.23	7.65													23.5	0.0	7.43	0.02	2281.1	4.6	31.3	0.6	2780.7	83.4	2183.6	40.2	0.99	0.65	26	7.29	83.30	2769.06	2778.11	2183.77	40.17	2307.24	0.65	0.99
Haliotis diversicolor (mollusk)	3	pCO2=3000 ppm					16	veliger	0.00														23.5	0.0	7.43	0.02	2281.1	4.6	31.3	0.6	2780.7	83.4	2183.6	40.2	0.99	0.65	26	7.29	83.30	2769.06	2778.11	2183.77	40.17	2307.24	0.65	0.99
Haliotis diversicolor (mollusk)	3	pCO2=3000 ppm					16	deformed	31.94	9.27													23.5	0.0	7.43	0.02	2281.1	4.6	31.3	0.6	2780.7	83.4	2183.6	40.2	0.99	0.65	26	7.29	83.30	2769.06	2778.11	2183.77	40.17	2307.24	0.65	0.99
Haliotis diversicolor (mollusk)	3	control					24	fertilized egg	0.00														23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	control					24	trocophore	0.00														23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	control					24	veliger	95.73	0.90													23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	control					24	deformed	4.27	0.90													23.8	0.1	8.15	0.01	2281.1	4.6	31.3	0.6	447.5	13.4	1844.3	179.9	4.45	2.90	26	8.01	13.34	446.87	448.33	1844.38	179.86	2037.58	2.90	4.45
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					24	fertilized egg	1.03	1.80													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					24	trocophore	1.41	1.30													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					24	veliger	88.64	3.10													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=800 ppm					24	deformed	8.93	0.90													23.5	0.1	7.94	0.00	2281.1	4.6	31.3	0.6	784.3	23.5	1993.0	118.8	2.94	1.91	26	7.80	23.48	780.60	783.15	1993.06	118.69	2135.24	1.91	2.93
Haliotis diversicolor (mollusk)	3	pCO2=1500 ppm					24	fertilized egg	0.58	0.51													23.2	0.2	7.71	0.00	2281.1	4.6	31.3	0.6	1401.3	42.4	2103.7	73.1	1.81	1.17	26	7.57	42.30	1394.89	1399.46	2103.85	73.06	2219.21	1.17	1.81
