/* DATA DESCRIPTION:
Citation:	Pusceddu, F H; Guimarães, M M; Lopes, L O; Souza, L S; Cortez, F S; Pereira, C D S; Choueri, R B; Cesar, A (2022): Seawater carbonate chemistry and embriolarval development of Echinometra lucunter and neutral red retention time of Perna perna. PANGAEA, https://doi.org/10.1594/PANGAEA.943292
Abstract:	Since the last decade, several studies have reported the presence and effects of pharmaceutical residues in the marine environment, especially those of the antihypertensive class, such as losartan. However, there is little knowledge about the physiological effects of losartan in marine invertebrates regarding its behavior under possible coastal ocean acidification scenarios. The objective of this study was to evaluate biological effects on marine organisms at different levels of the biological organization caused by the compound losartan in water and sediment under coastal ocean acidification scenarios. Water and sediment samples were collected at five sites around the Santos Submarine Sewage outfall (SSO) and two sites around the Guarujá Submarine Sewage Outfall (GSO). Losartan was found in concentrations ranging from effects pH and losartan on the toxicity results. The water toxicity test with Echinometra lucunter embryos/larvae showed LOECs 50–100 mg/L, with values decreasing as the pH decreased. In the sediment assays, LOEC value for sea urchin embryo-larval development was 1.0 μg/g for all tested pHs. Regarding the lysosomal membrane stability assays with adult bivalves, a LOEC of 3000 ng/L was found for Perna perna in water exposure (both at pH 8.0 and 7.6). Effects for Mytella guyanensis were observed at environmentally relevant concentrations in sediment (LOEC = 3 ng/g at pH 8.0 and 7.6). This study demonstrated that coastal ocean acidification by itself causes effects on marine invertebrates, but can also increase the negative effects of losartan in waterborne exposure. There is a need to deepen the studies on the ecotoxicity of pharmaceutical residues and acidification of the marine environment.
Keyword(s):	Animalia; Benthic animals; Benthos; Bottles or small containers/Aquaria (<20 L); Coast and continental shelf; Containers and aquaria (20-1000 L or < 1 m**2); Development; Echinodermata; Echinometra lucunter; Laboratory experiment; Mollusca; Mytella guyanensis; Other; Other studied parameter or process; Perna perna; Single species; South Atlantic; Temperate
Supplement to:	Pusceddu, F H; Guimarães, M M; Lopes, L O; Souza, L S; Cortez, F S; Pereira, C D S; Choueri, R B; Cesar, A (2022): Biological effects of the antihypertensive losartan under different ocean acidification scenarios. Environmental Pollution, 292, 118329, https://doi.org/10.1016/j.envpol.2021.118329
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise; Orr, James (2021): seacarb: seawater carbonate chemistry with R. R package version 3.2.16. https://cran.r-project.org/web/packages/seacarb/index.html
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Coverage:	MEDIAN LATITUDE: -24.202933 * MEDIAN LONGITUDE: -46.519333 * SOUTH-BOUND LATITUDE: -25.033300 * WEST-BOUND LONGITUDE: -47.933300 * NORTH-BOUND LATITUDE: -23.566600 * EAST-BOUND LONGITUDE: -45.300000
Event(s):	Cananeia_OA * LATITUDE: -25.033300 * LONGITUDE: -47.933300 * METHOD/DEVICE: Experiment (EXP) * COMMENT: The location indicates where the studied organisms were collected
	Cocanha_beach * LATITUDE: -23.566600 * LONGITUDE: -45.300000 * METHOD/DEVICE: Experiment (EXP) * COMMENT: The location indicates where the studied organisms were collected
	Ilha_das_Palmas * LATITUDE: -24.008900 * LONGITUDE: -46.324700 * METHOD/DEVICE: Experiment (EXP) * COMMENT: The location indicates where the studied organisms were collected
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2021) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation by seacarb is 2022-04-13.
Parameter(s):	Event label (Event) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Type (Type) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * COMMENT: study
	Species (Species) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Registration number of species (Reg spec no) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * COMMENT: WoRMS Aphia ID
	Uniform resource locator/link to reference (URL ref) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Treatment (Treat) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Treatment (Treat) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * COMMENT: Losartan levels
	Replicate (Replicate) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Embriolarval development [%] (Embriolarval dev) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Retention time [min] (Retention) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * COMMENT: neutral red retention time
	Salinity (Sal) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Temperature, water [°C] (Temp) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	Temperature, water, standard deviation [±] (Temp std dev) * PI: Choueri, R B (rodrigo.choueri@unifesp.br)
	pH (pH) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Potentiometric * COMMENT: NBS scale
	Alkalinity, total [µmol/kg] (AT) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Potentiometric titration
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbon dioxide [µmol/kg] (CO2) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Calcite saturation state (Omega Cal) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Aragonite saturation state (Omega Arg) * PI: Choueri, R B (rodrigo.choueri@unifesp.br) * METHOD/DEVICE: Calculated using CO2SYS (URI: http://cdiac.ornl.gov/oceans/co2rprt.html)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	pH (pH) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010) * COMMENT: total scale
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	11869 data points
*/
Event	Type (study)	Species	Reg spec no (WoRMS Aphia ID)	URL ref	Treat	Treat (Losartan levels)	Replicate	Embriolarval dev [%]	Retention [min] (neutral red retention time)	Sal	Temp [°C]	Temp std dev [±]	pH (NBS scale, Potentiometric)	AT [µmol/kg] (Potentiometric titration)	DIC [µmol/kg] (Calculated using CO2SYS)	[HCO3]- [µmol/kg] (Calculated using CO2SYS)	[CO3]2- [µmol/kg] (Calculated using CO2SYS)	CO2 [µmol/kg] (Calculated using CO2SYS)	pCO2water_SST_wet [µatm] (Calculated using CO2SYS)	Omega Cal (Calculated using CO2SYS)	Omega Arg (Calculated using CO2SYS)	CSC flag (Calculated using seacarb afte...)	pH (total scale, Calculated using...)	CO2 [µmol/kg] (Calculated using seacarb afte...)	fCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	pCO2water_SST_wet [µatm] (Calculated using seacarb afte...)	[HCO3]- [µmol/kg] (Calculated using seacarb afte...)	[CO3]2- [µmol/kg] (Calculated using seacarb afte...)	DIC [µmol/kg] (Calculated using seacarb afte...)	Omega Arg (Calculated using seacarb afte...)	Omega Cal (Calculated using seacarb afte...)
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	Control in seawater	R1	80		30	25	2	7.85	1435.40	1280.7	1175.6	93.8	11.3	401.6	2.26	1.49	26	7.71	18.32	628.63	630.64	1270.00	62.18	1350.50	1.01	1.56
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	Control in seawater	R1	79		30	25	2	7.45	1418.60	1376.6	1303.6	41.7	31.3	1121.0	1.00	0.66	26	7.31	48.84	1675.90	1681.27	1348.66	26.30	1423.80	0.43	0.66
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	Control in seawater	R1	35		30	25	2	7.15	1430.30	1458.9	1371.0	21.6	66.3	2336.8	0.52	0.34	26	7.01	100.78	3458.43	3469.54	1394.30	13.62	1508.70	0.22	0.34
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	Control in seawater	R2	80		30	25	2	7.85	1435.40	1280.7	1175.6	93.8	11.3	401.6	2.26	1.49	26	7.71	18.32	628.63	630.64	1270.00	62.18	1350.50	1.01	1.56
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	Control in seawater	R2	82		30	25	2	7.45	1418.60	1376.6	1303.6	41.7	31.3	1121.0	1.00	0.66	26	7.31	48.84	1675.90	1681.27	1348.66	26.30	1423.80	0.43	0.66
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	Control in seawater	R2	31		30	25	2	7.15	1430.30	1458.9	1371.0	21.6	66.3	2336.8	0.52	0.34	26	7.01	100.78	3458.43	3469.54	1394.30	13.62	1508.70	0.22	0.34
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	Control in seawater	R3	80		30	25	2	7.85	1435.40	1280.7	1175.6	93.8	11.3	401.6	2.26	1.49	26	7.71	18.32	628.63	630.64	1270.00	62.18	1350.50	1.01	1.56
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	Control in seawater	R3	81		30	25	2	7.45	1418.60	1376.6	1303.6	41.7	31.3	1121.0	1.00	0.66	26	7.31	48.84	1675.90	1681.27	1348.66	26.30	1423.80	0.43	0.66
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	Control in seawater	R3	30		30	25	2	7.15	1430.30	1458.9	1371.0	21.6	66.3	2336.8	0.52	0.34	26	7.01	100.78	3458.43	3469.54	1394.30	13.62	1508.70	0.22	0.34
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	Control in seawater	R4	83		30	25	2	7.85	1435.40	1280.7	1175.6	93.8	11.3	401.6	2.26	1.49	26	7.71	18.32	628.63	630.64	1270.00	62.18	1350.50	1.01	1.56
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	Control in seawater	R4	79		30	25	2	7.45	1418.60	1376.6	1303.6	41.7	31.3	1121.0	1.00	0.66	26	7.31	48.84	1675.90	1681.27	1348.66	26.30	1423.80	0.43	0.66
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	Control in seawater	R4	29		30	25	2	7.15	1430.30	1458.9	1371.0	21.6	66.3	2336.8	0.52	0.34	26	7.01	100.78	3458.43	3469.54	1394.30	13.62	1508.70	0.22	0.34
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	5 mg/L losartan in seawater	R1	86		30	25	2	7.85	1335.70	1188.6	1092.0	86.1	10.5	371.4	2.07	1.36	26	7.71	17.00	583.46	585.32	1179.14	57.75	1253.90	0.94	1.45
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	5 mg/L losartan in seawater	R1	86		30	25	2	7.45	1274.50	1234.9	1169.9	36.7	28.4	999.3	0.88	0.58	26	7.31	43.82	1503.87	1508.69	1209.98	23.59	1277.40	0.38	0.59
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	5 mg/L losartan in seawater	R1	31		30	25	2	7.15	1220.80	1243.0	1168.1	18.3	56.6	1988.6	0.44	0.29	26	7.01	85.88	2947.19	2956.66	1188.80	11.62	1286.30	0.19	0.29
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	5 mg/L losartan in seawater	R2	78		30	25	2	7.85	1335.70	1188.6	1092.0	86.1	10.5	371.4	2.07	1.36	26	7.71	17.00	583.46	585.32	1179.14	57.75	1253.90	0.94	1.45
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	5 mg/L losartan in seawater	R2	63		30	25	2	7.45	1274.50	1234.9	1169.9	36.7	28.4	999.3	0.88	0.58	26	7.31	43.82	1503.87	1508.69	1209.98	23.59	1277.40	0.38	0.59
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	5 mg/L losartan in seawater	R2	30		30	25	2	7.15	1220.80	1243.0	1168.1	18.3	56.6	1988.6	0.44	0.29	26	7.01	85.88	2947.19	2956.66	1188.80	11.62	1286.30	0.19	0.29
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	5 mg/L losartan in seawater	R3	97		30	25	2	7.85	1335.70	1188.6	1092.0	86.1	10.5	371.4	2.07	1.36	26	7.71	17.00	583.46	585.32	1179.14	57.75	1253.90	0.94	1.45
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	5 mg/L losartan in seawater	R3	69		30	25	2	7.45	1274.50	1234.9	1169.9	36.7	28.4	999.3	0.88	0.58	26	7.31	43.82	1503.87	1508.69	1209.98	23.59	1277.40	0.38	0.59
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	5 mg/L losartan in seawater	R3	34		30	25	2	7.15	1220.80	1243.0	1168.1	18.3	56.6	1988.6	0.44	0.29	26	7.01	85.88	2947.19	2956.66	1188.80	11.62	1286.30	0.19	0.29
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	5 mg/L losartan in seawater	R4	87		30	25	2	7.85	1335.70	1188.6	1092.0	86.1	10.5	371.4	2.07	1.36	26	7.71	17.00	583.46	585.32	1179.14	57.75	1253.90	0.94	1.45
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	5 mg/L losartan in seawater	R4	90		30	25	2	7.45	1274.50	1234.9	1169.9	36.7	28.4	999.3	0.88	0.58	26	7.31	43.82	1503.87	1508.69	1209.98	23.59	1277.40	0.38	0.59
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	5 mg/L losartan in seawater	R4	34		30	25	2	7.15	1220.80	1243.0	1168.1	18.3	56.6	1988.6	0.44	0.29	26	7.01	85.88	2947.19	2956.66	1188.80	11.62	1286.30	0.19	0.29
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	10 mg/L losartan in seawater	R1	87		30	25	2	7.86	1353.30	1206.0	1108.4	86.8	10.7	376.1	2.09	1.38	26	7.72	16.79	576.07	577.91	1191.85	59.76	1268.40	0.97	1.50
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	10 mg/L losartan in seawater	R1	92		30	25	2	7.45	1292.40	1253.4	1187.6	36.9	28.9	1011.0	0.89	0.58	26	7.31	44.45	1525.51	1530.40	1227.22	23.93	1295.60	0.39	0.60
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	10 mg/L losartan in seawater	R1	28		30	25	2	7.15	1227.50	1249.3	1174.1	18.6	56.6	2005.6	0.45	0.29	26	7.01	86.35	2963.19	2972.71	1195.37	11.69	1293.40	0.19	0.29
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 8.0	10 mg/L losartan in seawater	R2	97		30	25	2	7.86	1353.30	1206.0	1108.4	86.8	10.7	376.1	2.09	1.38	26	7.72	16.79	576.07	577.91	1191.85	59.76	1268.40	0.97	1.50
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.6	10 mg/L losartan in seawater	R2	89		30	25	2	7.45	1292.40	1253.4	1187.6	36.9	28.9	1011.0	0.89	0.58	26	7.31	44.45	1525.51	1530.40	1227.22	23.93	1295.60	0.39	0.60
Ilha_das_Palmas	laboratory	Echinometra lucunter (Echinodermata)	213380	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213380	pH 7.3	10 mg/L losartan in seawater	R2	36		30	25	2	7.15	1227.50	1249.3	1174.1	18.6	56.6	2005.6	0.45	0.29	26	7.01	86.35	2963.19	2972.71	1195.37	11.69	1293.40	0.19	0.29
