/* DATA DESCRIPTION:
Citation:	Waldbusser, George G; Hales, Burke; Langdon, Chris; Haley, Brian A; Schrader, Paul; Brunner, Elizabeth L; Gray, Matthew W; Miller, Cale A; Gimenez, Iria (2015): Seawater carbonate chemistry and larval shell development and growth of marine bivalve. PANGAEA, https://doi.org/10.1594/PANGAEA.934173
Abstract:	Ocean acidification results in co-varying inorganic carbon system variables. Of these, an explicit focus on pH and organismal acid–base regulation has failed to distinguish the mechanism of failure in highly sensitive bivalve larvae. With unique chemical manipulations of seawater we show definitively that larval shell development and growth are dependent on seawater saturation state, and not on carbon dioxide partial pressure or pH. Although other physiological processes are affected by pH, mineral saturation state thresholds will be crossed decades to centuries ahead of pH thresholds owing to nonlinear changes in the carbonate system variables as carbon dioxide is added. Our findings were repeatable for two species of bivalve larvae could resolve discrepancies in experimental results, are consistent with a previous model of ocean acidification impacts due to rapid calcification in bivalve larvae, and suggest a fundamental ocean acidification bottleneck at early life-history for some marine keystone species.
Keyword(s):	Animalia; Bottles or small containers/Aquaria (<20 L); Coast and continental shelf; Crassostrea gigas; Development; Growth/Morphology; Laboratory experiment; Mollusca; Mytilus galloprovincialis; North Pacific; Pelagos; Single species; Temperate; Zooplankton
Supplement to:	Waldbusser, George G; Hales, Burke; Langdon, Chris; Haley, Brian A; Schrader, Paul; Brunner, Elizabeth L; Gray, Matthew W; Miller, Cale A; Gimenez, Iria (2015): Saturation-state sensitivity of marine bivalve larvae to ocean acidification. Nature Climate Change, 5(3), 273-280, https://doi.org/10.1038/NCLIMATE2479
Original version:	Waldbusser, George G (2016): Dataset: Oyster Mussel Carbonate Responses. Biological and Chemical Oceanography Data Management Office, https://www.bco-dmo.org/dataset/638362
Further details:	Gattuso, Jean-Pierre; Epitalon, Jean-Marie; Lavigne, Héloise; Orr, James (2021): seacarb: seawater carbonate chemistry with R. R package version 3.2.16. https://cran.r-project.org/web/packages/seacarb/index.html
Project(s):	Ocean Acidification International Coordination Centre (OA-ICC) (URI: http://www.iaea.org/ocean-acidification/page.php?page=2181)
Comment:	In order to allow full comparability with other ocean acidification data sets, the R package seacarb (Gattuso et al, 2021) was used to compute a complete and consistent set of carbonate system variables, as described by Nisumaa et al. (2010). In this dataset the original values were archived in addition with the recalculated parameters (see related PI). The date of carbonate chemistry calculation by seacarb is 2021-07-28.
Parameter(s):	Type (Type) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu) * COMMENT: study
	Species (Species) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Registration number of species (Reg spec no) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Uniform resource locator/link to reference (URL ref) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu) * COMMENT: WoRMS Aphia ID
	Experiment (Exp) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Treatment (Treat) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu) * COMMENT: values for saturation state of aragonite are noted as a to d denoted the lowest to highest values
	Treatment (Treat) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Alkalinity, total [µmol/kg] (AT) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Carbon, inorganic, dissolved [µmol/kg] (DIC) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Partial pressure of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (pCO2water_SST_wet) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	pH (pH) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu) * COMMENT: total scale
	Aragonite saturation state (Omega Arg) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Proportion (Prop) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu) * COMMENT: fraction of Normally Developed Larvae
	Shell length [mm] (Shell l) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Proportion, standard deviation [±] (Prop std dev) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu) * COMMENT: fraction of Normally Developed Larvae
	Shell length, standard deviation [±] (Shell l std dev) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Temperature, water [°C] (Temp) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Salinity (Sal) * PI: Waldbusser, George G (https://orcid.org/0000-0002-8334-580X, waldbuss@coas.oregonstate.edu)
	Carbonate system computation flag (CSC flag) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	pH (pH) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010) * COMMENT: total scale
	Carbon dioxide [µmol/kg] (CO2) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Fugacity of carbon dioxide (water) at sea surface temperature (wet air) [µatm] (fCO2water_SST_wet) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Bicarbonate ion [µmol/kg] ([HCO3]-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Carbonate ion [µmol/kg] ([CO3]2-) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Alkalinity, total [µmol/kg] (AT) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Aragonite saturation state (Omega Arg) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
	Calcite saturation state (Omega Cal) * PI: Yang, Yan (https://orcid.org/0000-0003-4900-5606, yangyan@xmu.edu.cn, http://mel.xmu.edu.cn/en/) * METHOD/DEVICE: Calculated using seacarb after Nisumaa et al. (2010) (URI: https://doi.org/10.5194/essd-2-167-2010)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1784 data points
*/
Type (study)	Species	Reg spec no	URL ref (WoRMS Aphia ID)	Exp	Treat (values for saturation state o...)	Treat	AT [µmol/kg]	DIC [µmol/kg]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pCO2water_SST_wet [µatm]	pH (total scale)	Omega Arg	Prop (fraction of Normally Develope...)	Shell l [mm]	Prop std dev [±] (fraction of Normally Develope...)	Shell l std dev [±]	Temp [°C]	Sal	CSC flag	pH (total scale)	CO2 [µmol/kg]	fCO2water_SST_wet [µatm]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	AT [µmol/kg]	Omega Arg	Omega Cal
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	a	High pCO2	2026	2046	1936	36	2599	7.27	0.57	0.08		0.04		22	33.0	25	7.26	80.36	2590.38	1933.01	32.63	2014.61	0.52	0.79
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	a	Low pCO2	845	806	764	25	589	7.51	0.39	0.36		0.07		22	33.0	25	7.50	18.21	587.05	765.23	22.56	838.20	0.36	0.55
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	a	Mid-High pCO2	1269	1253	1189	28	1240	7.37	0.45	0.06		0.01		22	33.0	25	7.37	38.34	1235.89	1188.80	25.87	1261.40	0.41	0.63
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	a	Mid-Low pCO2	980	952	903	25	815	7.44	0.40	0.17		0.03		22	33.0	25	7.44	25.20	812.30	904.04	22.76	973.55	0.36	0.55
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	b	High pCO2	2851	2841	2696	66	2767	7.38	1.04	0.80		0.03		22	33.0	25	7.38	85.55	2757.82	2695.84	59.61	2836.26	0.94	1.45
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	b	Low pCO2	1134	1049	985	51	477	7.71	0.81	0.82		0.02		22	33.0	25	7.71	14.75	475.42	987.82	46.43	1123.49	0.74	1.13
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	b	Mid-High pCO2	1761	1723	1635	49	1361	7.47	0.78	0.76		0.02		22	33.0	25	7.47	42.08	1356.49	1636.27	44.65	1751.45	0.71	1.09
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	b	Mid-Low pCO2	1365	1305	1234	47	809	7.58	0.75	0.83		0.04		22	33.0	25	7.57	25.01	806.32	1237.06	42.93	1355.34	0.68	1.05
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	c	High pCO2	4026	3977	3774	111	3191	7.47	1.77	0.91		0.03		22	33.0	25	7.46	98.66	3180.40	3776.88	101.46	4005.31	1.61	2.47
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	c	Low pCO2	1519	1374	1269	93	433	7.86	1.47	0.86		0.03		22	33.0	25	7.86	13.39	431.57	1275.36	85.25	1504.36	1.35	2.08
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	c	Mid-High pCO2	2507	2399	2261	102	1256	7.65	1.61	0.90		0.03		22	33.0	25	7.65	38.83	1251.84	2267.28	92.89	2490.84	1.47	2.26
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	c	Mid-Low pCO2	1905	1771	1651	99	685	7.78	1.58	0.87		0.00		22	33.0	25	7.77	21.18	682.73	1658.67	91.15	1890.22	1.44	2.22
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	d	High pCO2	5772	5619	5312	211	3334	7.60	3.35	0.88		0.04		22	33.0	25	7.59	103.08	3322.93	5323.03	192.89	5742.55	3.06	4.70
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	d	Low pCO2	2247	1957	1742	205	369	8.07	3.25	0.91		0.03		22	33.0	25	8.07	11.41	367.78	1755.95	189.64	2222.61	3.01	4.62
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	d	Mid-High pCO2	3644	3438	3209	190	1352	7.77	3.02	0.96		0.01		22	33.0	25	7.77	41.80	1347.52	3221.94	174.26	3619.01	2.76	4.24
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	1	d	Mid-Low pCO2	2836	2568	2340	210	653	7.95	3.32	0.89		0.04		22	33.0	25	7.95	20.19	650.84	2355.05	192.76	2810.12	3.05	4.69
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	a	High pCO2	2401	2379	2262	57	1891	7.47	0.92	0.57	0.07297	0.04	0.00008	25	31.0	25	7.48	54.64	1884.96	2257.51	66.85	2417.58	1.09	1.66
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	a	Low pCO2	754	683	642	33	265	7.77	0.53	0.45	0.07249	0.13	0.00071	25	31.0	25	7.78	7.66	264.15	637.32	38.02	763.38	0.62	0.95
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	a	Mid-High pCO2	1428	1369	1298	48	743	7.63	0.77	0.45	0.07242	0.16	0.00025	25	31.0	25	7.64	21.47	740.63	1291.82	55.71	1440.62	0.90	1.39
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	a	Mid-Low pCO2	1028	958	904	41	418	7.72	0.67	0.33	0.07380	0.13	0.00096	25	31.0	25	7.73	12.08	416.67	898.06	47.86	1039.03	0.78	1.19
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	b	High pCO2	3408	3337	3169	104	2045	7.58	1.67	0.84	0.07629	0.05	0.00028	25	31.0	25	7.59	59.09	2038.46	3157.01	120.90	3432.31	1.96	3.01
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	b	Low pCO2	1119	989	910	71	246	7.96	1.14	0.91	0.07371	0.06	0.00009	25	31.0	25	7.97	7.11	245.22	900.18	81.71	1135.33	1.33	2.03
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	b	Mid-High pCO2	2011	1893	1776	94	715	7.78	1.50	0.82	0.07566	0.05	0.00038	25	31.0	25	7.79	20.66	712.72	1764.34	108.00	2031.50	1.75	2.68
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	b	Mid-Low pCO2	1481	1356	1261	82	412	7.87	1.31	0.86	0.07649	0.03	0.00039	25	31.0	25	7.88	11.91	410.69	1250.02	94.08	1499.40	1.53	2.34
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	c	High pCO2	4904	4701	4423	218	1905	7.76	3.49	0.89	0.07796	0.02	0.00050	25	31.0	25	7.77	55.05	1898.91	4394.49	251.46	4945.63	4.08	6.25
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	c	Low pCO2	1672	1439	1283	149	235	8.13	2.38	0.98	0.07503	0.04	0.00127	25	31.0	25	8.13	6.79	234.25	1263.66	168.55	1698.53	2.74	4.19
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	c	Mid-High pCO2	2933	2718	2516	178	756	7.91	2.85	0.90	0.07702	0.03	0.00020	25	31.0	25	7.92	21.85	753.59	2492.34	203.82	2965.69	3.31	5.07
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	c	Mid-Low pCO2	2190	1965	1789	163	417	8.02	2.61	0.95	0.07680	0.02	0.00076	25	31.0	25	8.03	12.05	415.67	1767.18	185.77	2219.65	3.02	4.62
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	d	High pCO2	7029	6634	6169	401	2013	7.88	6.43	0.93	0.08004	0.03	0.00058	25	31.0	25	7.88	58.17	2006.56	6115.04	460.79	7097.92	7.48	11.46
laboratory	Crassostrea gigas (mollusk)	140656	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140656	2	d	Low pCO2	2537	2117	1805	305	226	8.29	4.89	1.00	0.07780	0.01	0.00060	25	31.0	25	8.30	6.53	225.28	1767.56	342.91	2582.45	5.57	8.52
